сұрақ,жауап
" Пайтынның 20 қызыл қалпағы және 24 көк қалпағы бар. Оның досы Золаның өзінен 4/5 есе көп қызыл қалпағы және көк қалпақтар санынан екі есе көп. Егер олар барлық қалпақтарды біріктіріп, оларды тең бөліссе, әрқайсысына қанша қалпақ берілетінін есептеңіз.","Пайтиннің барлығы 20 қалпағы + 24 қалпағы бар = <<20+24=44>>44 қалпағы бар. Золаның қызыл қалпақтарының саны 4/5 * 20 қалпақ = <<4/5*20=16>>16 қалпағы бар. Золаның да 2 * 24 қалпағы бар = <<2*24=48>>48 көк қалпағы бар. Золаның барлығы 48 қалпағы + 16 қалпағы бар = <<48+16=64>>64 қалпағы бар. Қалпақтарын қосқанда, 64 қалпағы + 44 қалпағы бар = <<64+44=108>>108 қалпағы болады. Егер олар қалпақтарды тең бөліссе, әрқайсысы 108 қалпақ / 2 адам = <<108/2=54>>54 қалпақ/адам #### 54"
" Ханс қонақ үйден бөлме брондады. Қонақ үйдің 10 қабаты бар, әр қабатында 10 бірдей бөлме бар. Апат салдарынан соңғы қабат қонақтар үшін қолжетімді емес. Басқа қонақтар болмағандықтан, Ханс қанша түрлі бөлмеге орналаса алады?"," Қонақ үйде барлығы 10 қабат бар * 10 бөлме/қабат = <<10*10=100>>100 бөлме. Бір қабат бос емес, сондықтан Хансты 100 бөлмеге жатқызуға болады - 10 бөлме = <<100-10=90>>90 бос бөлме. #### 90"
"Төрт сыныптас туған айларына қарай жасын салыстырды. Олар Джолиннің Терезден 2 ай, ал Терезаның Айводан 5 ай үлкен екенін анықтады. Содан кейін Леон Айводан 2 ай үлкен. Джолин Леоннан айлармен қанша есе үлкен?"," Джолин Айводан 2 + 5 = <<2+5=7>>7 ай үлкен. Леон Айводан 2 ай үлкен болғандықтан, Джолин Леоннан 7 - 2 = 5 ай үлкен. #### 5"
" Питер дүкенге газдалған сусын сатып алуға барады. Газдалған сусынның унциясы 0,25 доллар тұрады. Ол өзімен бірге 2 доллар алып келіп, 0,50 доллармен кетеді. Ол қанша унция газдалған сусын сатып алды?"," Ол газдалған сусынға 1,5 доллар жұмсайды, себебі 2 - .5 = <<2-.5=1,5>>1,5 Ол 6 унция газдалған сусын сатып алды, себебі 1,5 / .25 = <<6=6>>6 #### 6"
" Джонның сиырының салмағы 400 фунт. Ол бастапқы салмағынан 1,5 есеге дейін салмағын арттырды. Ол сиырды фунтын 3 доллардан сата алады. Салмағы өскеннен кейін оның құны қанша болады?",Сиырдың бастапқы салмағы 400*1.5=<<400*1.5=600>>600 фунт болды. Сондықтан ол 600 - 400 = <<600-400=200>>200 фунтқа қосылды. Сондықтан оның құны 200*$3 = $<<200*3=600>>600-ге өсті. #### 600
 Брэндон өткен жылы 86 геккон сатты. Ол өткен жылы екі есе көп сатты. Брэндон соңғы екі жылда қанша геккон сатты?, Өткен жылы: 86 геккон 2 жыл бұрын: 86(2)=172 Сатылған геккондардың жалпы саны 86+172=<<86+172=258>>258 геккон #### 258
" Кристиан кітапханада жұмыс істейді. Ол күн сайын орта есеппен 40 кітап алады. Әр жұма сайын оның алған кітаптарының саны күнделікті орташа көрсеткіштен шамамен 40%-ға көп. Егер кітапхана дүйсенбіден жұмаға дейін ашық болса, ол бір аптада қанша кітап алады?","Жұма күні алынған кітаптар саны 40 * 40/100 = <<40*40/100=16>>16 кітапқа көп. Дүйсенбіден жұмаға дейін қоса алғанда 5 күн бар, сондықтан Кристиан сол уақыт ішінде орта есеппен 5 * 40 = <<5*40=200>>200 кітап алады. Жұма күнгі алынған кітаптардың көбеюімен Кристиан бір апта ішінде 200 + 16 = <<200+16=216>>216 кітап алады. #### 216"
" Герман құстарды желтоқсан, қаңтар және ақпан айларында тамақтандырғанды ұнатады. Ол оларға таңертең 1/2 кесе, ал түстен кейін 1/2 кесе береді. Оған үш ай бойы қанша кесе тамақ қажет болады?"," Желтоқсанда 31 күн, қаңтарда 31 күн және ақпанда 28 күн бар, барлығы 31+31+28 = <<31+31+28=90>>90 күн Ол оларға таңертең 1/2 кесе, ал түстен кейін 1/2 кесе береді, барлығы 1/2+1/2 = <<1/2+1/2=1>>Күніне 1 кесе береді. Егер ол оларға 90 күн бойы күніне 1 кесе берсе, онда оған 1*90 = <<1*90=90>>90 кесе құс тұқымы қажет болады #### 90"
"Джон өнімділік бонустарын ұсынатын жұмыста жұмыс істейді. Ол күніне 80 доллар табады және 8 сағат жұмыс істейді. Оның күніне қосымша 20 доллар өнімділік бонусын алу үшін көп жұмыс істеу мүмкіндігі бар, бірақ қосымша күш-жігер жұмыс күнін 2 сағатқа ұзартуға әкеледі. Егер Джон бонус алуды шешсе, сағатына қанша табады?"," Алдымен, егер Джон бонус алуды шешсе, оның жұмыс күнінің ұзақтығын анықтауымыз керек. Мұны оның жұмыс күні үшін 8+2= <<8+2=10>>10 сағат есептеу арқылы жасаймыз. Келесіде оның жалпы жалақысын анықтауымыз керек. Мұны күніне 80+20=<<80+20=100>>100 доллар есептеу арқылы жасаймыз. Содан кейін Джонның сағаттық жалақысын оның жалақысын жұмыс істеген сағаттар санына бөлу арқылы анықтаймыз, яғни сағатына 100/10= <<100/10=10>>10 доллар есептеу арқылы. #### 10"
"Салли мен Боб жыл соңында саяхатқа шығуды жоспарлады. Екеуі де бала күтуші болып жұмыс істеуді шешеді және тапқан ақшаларының жартысын саяхаттарына жинайды. Егер Салли күніне 6 доллар, ал Боб күніне 4 доллар тапса, бір жылдан кейін екеуі де саяхаттарына қанша ақша жинайды?"," Сали 1/2 үнемдейді * күніне $6 = $<<1/2*6=3>>3/күн. Әр жылда 365 күн болғандықтан, Саллидің бір жылда үнемдейтін жалпы ақшасы күніне $3 * 365 күн/жыл = $<<3*365=1095>>1095/жыл Боб 1/2 * күніне $4 = $<<1/2*4=2>>2/күн үнемдейді. Бобтың бір жылда үнемдейтін жалпы ақшасы күніне $2 * 365 күн/жыл = $<<2*365=730>>730/жыл Жалпы алғанда, Салли мен Боб $730 + $1095 = $<<730+1095=1825>>1825 #### 1825"
" Джон үлкен мейрамханаға тамақ тапсырыс береді. Ол фунтына 8 доллардан 1000 фунт сиыр етін тапсырыс береді. Сондай-ақ, фунтына 3 доллардан екі есе көп тауық етін тапсырыс береді. Барлығы қанша тұрады?","Сиыр етінің құны $8 * 1000 = $<<8*1000=8000>>8000 Ол 1000 * 2 = <<1000*2=2000>>2000 фунт тауық сатып алады. Сонымен, тауық етінің құны 2000 * $3 = $<<2000*3=6000>>6000. Сонымен, жалпы құны $8000 + $6000 = $<<8000+6000=14000>>14000 #### 14000"
 Джон күніне 20 бет жазады. Әрқайсысы 400 беттен тұратын 3 кітап жазу үшін оған қанша уақыт кетеді?, Ол 3*400=<<3*400=1200>>1200 бет жазғысы келеді. Сондықтан оған 1200/20=<<1200/20=60>>60 күн қажет болады #### 60
" Алисаның 20 ширегі бар. Ол оларды шелекке айырбастағысы келеді, сондықтан банкке барады. Банктен оралғаннан кейін, ол шелектердегі 20%-дың әрқайсысы 3 доллар тұратын темір шелектер екенін біледі. Оның ақшасының қазіргі жалпы құны қандай?","Ширек цент бес центке тең, себебі .25 / .05 = <<.25/.05=5>>5 Ол банктен 100 цент алады, себебі 20 x 5 = <<20*5=100>>100 20 цент темір цент, себебі 100 x .20 = <<100*.20=20>>20 80 цент кәдімгі цент, себебі 100 - 20 = <<100-20=80>>80 Темір центтер 60 доллар тұрады, себебі 20 x 3 = <<20*3=60>>60 Кәдімгі центтер 4 доллар тұрады, себебі 80 x .05 = <<80*.05=4>>4 Оның ақшасы қазір 64 доллар тұрады, себебі 60 + 4 = <<60+4=64>>64 #### 64"
" Джеймстің жаңбыр суын жинайтын бөшкесі бар. Әр дюйм жаңбыр үшін ол 15 галлон су жинайды. Дүйсенбіде 4 дюйм, ал сейсенбіде 3 дюйм жаңбыр жауды. Ол суды бір галлонын 1,2 доллардан сата алады. Ол барлық суды сатудан қанша ақша тапты?", Жаңбыр жауды 3+4=<<3+4=7>>7 дюйм. Сонымен ол 7*15=<<7*15=105>>105 галлон жинады. Сонымен ол суды сатудан 105*1.2=$<<105*1.2=126>>126 табады #### 126
"Кітапханашы Нэнси арбадағы кітаптарды сөреге қойып отыр. Ол арбаның жоғарғы бөлігінен 12 тарих кітабын, 8 романтикалық кітапты және 4 поэзия кітабын сөреге қойды. Арбаның төменгі бөлігіндегі кітаптардың жартысы детективтік кітаптар болды, оларды тез орнына қойды. Содан кейін ол арбаның төменгі жағынан қалған кітаптарды, соның ішінде 5 батыс романы мен 6 өмірбаянды сөреге қойды. Кітап арбасында бастаған кезде қанша кітап болды?"," Арбаның төменгі бөлігіндегі кітаптардың жартысы детективтік кітаптар, яғни олар батыстық романдар мен өмірбаяндардың жалпы санымен бірдей. Сонымен, 5 + 6 = <<5+6=11>>11 детективтік роман шығады. Олардың барлығын қоссақ, 12 тарих + 8 романтика + 4 поэзия + 11 детектив + 5 батыстық + 6 өмірбаян = <<12+8+4+11+5+6=46>>барлығы 46 кітап шығады #### 46"
"Гектор бір контейнер сағыз шарларын сатып алды. Ол Тоддқа 4-еуін берді, содан кейін Тоддқа Алишаға бергенінен екі есе көп берді, содан кейін Боббиге Алишаға бергенінен төрт есе аз 5-еуін берді. Егер Гекторда 6 сағыз шары қалса, Гектор сатып алған сағыз шарларының жалпы саны қандай?"," Гектор Алишаға Тоддқа бергенінен екі есе көп, барлығы 4*2=<<4*2=8>>8 саңырауқұлақ берді, Гектор Боббиге Алишаға бергенінен төрт есе аз 5 саңырауқұлақ берді, немесе барлығы (8*4)-5=<<8*4-5=27>>27 саңырауқұлақ берді. Егер Гекторда 6 саңырауқұлақ қалса, ол бастапқыда 4+8+27+6=<<4+8+27+6=45>>45 саңырауқұлақ сатып алды. #### 45"
"Гейлдің екі аквариумы бар. Бірінші аквариум екінші аквариумнан екі есе үлкен. Бірінші аквариумда 48 галлон су бар. Ол бір дюйм балыққа бір галлон су ережесін ұстанады. Егер ол екінші аквариумда екі дюймдік, ал бірінші аквариумда үш дюймдік балық ұстаса, егер бірінші аквариум балықтарының бірі екіншісін жесе, Гейлдің бірінші аквариумда екінші аквариумға қарағанда қанша балығы көп болар еді?"," Екінші аквариум 48 / 2 = <<48/2=24>>24 галлон. Гейл өзінің ережесіне сәйкес, екінші аквариумда 24 / 2 = <<24/2=12>>12 екі дюймдік балық ұстайды. Ол бірінші аквариумда 48 / 3 = <<48/3=16>>16 балық ұстайды. Егер бірінші аквариумдағы бір балық екіншісін жесе, оның бірінші аквариумда 16 - 1 = <<16-1=15>>15 балығы болар еді. Осылайша, Гейлдің бірінші аквариумда тағы 15 - 12 = <<15-12=3>>3 балығы болар еді. #### 3"
